country,iso3c,gdp_percap
Andorra,AND,
United Arab Emirates,ARE,72399.6534733898
Afghanistan,AFG,1944.11700491066
Antigua and Barbuda,ATG,22661.4885361636
Albania,ALB,11540.0255610802
Armenia,ARM,8832.76343477121
Angola,AGO,6454.13537038718
Argentina,ARG,19939.9307747882
American Samoa,ASM,
Austria,AUT,50551.5531751991
Australia,AUS,46012.3284515686
Aruba,ABW,
Azerbaijan,AZE,17256.6269704412
Bosnia and Herzegovina,BIH,12172.0664660669
Barbados,BRB,18064.6044272186
Bangladesh,BGD,3579.75679134845
Belgium,BEL,46428.6714245837
Burkina Faso,BFA,1771.01528722421
Bulgaria,BGR,19242.6226157385
Bahrain,BHR,
Burundi,BDI,777.752851658978
Benin,BEN,2167.64282342606
Bermuda,BMU,
Brunei Darussalam,BRN,77420.6121720434
Bolivia,BOL,7234.19524334695
Brazil,BRA,15123.8500142816
"Bahamas, The",BHS,22516.8164822799
Bhutan,BTN,8900.76455308796
Botswana,BWA,16956.7247702462
Belarus,BLR,18066.3006624014
Belize,BLZ,8461.53565294243
Canada,CAN,44819.4836002717
"Congo, Dem. Rep.",COD,801.630119736065
Central African Republic,CAF,698.706655729741
"Congo, Rep.",COG,5717.290370945
Switzerland,CHE,63888.7323866538
Cote d'Ivoire,CIV,3693.43690911649
Chile,CHL,23193.9741105248
Cameroon,CMR,3609.37559694931
China,CHN,15529.0841064508
Colombia,COL,14153.9279251866
Costa Rica,CRI,16609.7393541834
Cuba,CUB,
Curacao,CUW,
Cyprus,CYP,32707.8728870037
Czech Republic,CZE,34749.2123632656
Germany,DEU,48860.5252921132
Djibouti,DJI,
Denmark,DNK,49029.0148389124
Dominica,DMA,10947.7151878134
Dominican Republic,DOM,15204.932464461
Algeria,DZA,15013.2963798624
Ecuador,ECU,11242.0475160365
Estonia,EST,29743.3374280246
"Egypt, Arab Rep.",EGY,11128.8024742798
Eritrea,ERI,
Spain,ESP,36304.8542727475
Ethiopia,ETH,1734.46407451719
Finland,FIN,43378.1460288181
Fiji,FJI,9109.95196333068
"Micronesia, Fed. Sts.",FSM,3508.71519196101
France,FRA,41343.2925355429
Gabon,GAB,18102.862219192
United Kingdom,GBR,42656.2166021995
Grenada,GRD,14200.0071938055
Georgia,GEO,10004.5284118978
Ghana,GHA,4292.44889991745
Gibraltar,GIB,
Greenland,GRL,
"Gambia, The",GMB,1676.86477283854
Guinea,GIN,1966.37968826299
Equatorial Guinea,GNQ,26058.0774429991
Greece,GRC,26778.5049658874
Guatemala,GTM,7944.69135314489
Guam,GUM,
Guinea-Bissau,GNB,1608.70437902519
Guyana,GUY,7836.37917629729
"Hong Kong SAR, China",HKG,58617.9706263933
Honduras,HND,4736.83914254906
Croatia,HRV,23422.4179765285
Haiti,HTI,1783.71512959334
Hungary,HUN,26700.7560826351
Indonesia,IDN,11609.0266217152
Ireland,IRL,71472.2959648651
Israel,ISR,37258.2235945673
Isle of Man,IMN,
India,IND,6570.61624580643
Iraq,IRQ,17348.9365323507
"Iran, Islamic Rep.",IRN,19948.8194840657
Iceland,ISL,50745.682977113
Italy,ITA,38380.1724117843
Channel Islands,CHI,
Jamaica,JAM,8821.31142953404
Jordan,JOR,9047.76892340397
Japan,JPN,42281.1881895781
Kenya,KEN,3155.11426394433
Kyrgyz Republic,KGZ,3552.09178947714
Cambodia,KHM,3736.96461203482
Kiribati,KIR,2108.53722771174
Comoros,COM,1521.85721808214
St. Kitts and Nevis,KNA,26382.788031934
"Korea, Rep.",KOR,36532.4726839798
Kuwait,KWT,74263.9986260609
Cayman Islands,CYM,
Kazakhstan,KAZ,25285.9477312642
Lao PDR,LAO,6549.66799975163
Lebanon,LBN,14308.7511271436
St. Lucia,LCA,12952.7251685677
Liechtenstein,LIE,
Sri Lanka,LKA,12312.940050985
Liberia,LBR,812.673943814557
Lesotho,LSO,2951.02189397517
Lithuania,LTU,29862.3188904098
Luxembourg,LUX,102389.437727633
Latvia,LVA,25587.3880884729
Libya,LBY,
Morocco,MAR,7857.4877165031
Monaco,MCO,
Moldova,MDA,5332.28777311133
Montenegro,MNE,17633.1329846821
St. Martin (French part),MAF,
Madagascar,MDG,1506.23832521343
Marshall Islands,MHL,4022.97863241912
"Macedonia, FYR",MKD,14942.1976434693
Mali,MLI,2125.7160265303
Myanmar,MMR,5721.22800362596
Mongolia,MNG,12252.2771963876
"Macao SAR, China",MAC,105420.414237179
Northern Mariana Islands,MNP,
Mauritania,MRT,3852.5259043653
Malta,MLT,37928.3412686642
Mauritius,MUS,21102.558923198
Maldives,MDV,15347.9977617196
Malawi,MWI,1168.82562558063
Mexico,MEX,17274.8230713694
Malaysia,MYS,27682.6079402983
Mozambique,MOZ,1216.79278743692
Namibia,NAM,10624.927113115
New Caledonia,NCL,
Niger,NER,986.206960615401
Nigeria,NGA,5861.08965603032
Nicaragua,NIC,5539.82671594908
Netherlands,NLD,50538.6065695989
Norway,NOR,58790.0614038949
Nepal,NPL,2477.90334509701
New Zealand,NZL,38565.4034526073
Oman,OMN,
Panama,PAN,23008.6653671451
Peru,PER,13018.6086123782
French Polynesia,PYF,
Papua New Guinea,PNG,4182.53934130662
Philippines,PHL,7804.16780147305
Pakistan,PAK,5235.47808501644
Poland,POL,27383.2549370049
Puerto Rico,PRI,37740.8882560612
West Bank and Gaza,PSE,5080.82957227227
